query_id,product_id,accurate_label,reformulated_query
6014,B004SCA15K,True,
6014,B00KMDL8U6,False,aa batteries 50 pack
6014,B00LHSAARW,False,aa batteries 60 pack
6014,B01B8R6PF2,True,
6014,B01B8R6V2E,True,
6014,B01G1RYHAO,True,
6014,B07F7RH8D4,True,
6014,B07FP5DNBG,True,
32814,B00DL7QDS2,True,
32814,B00EUHAGX0,False,DEWALT DCB095 8V MAX Battery Charger
32814,B011WRUODC,True,
32814,B07S7F53YK,True,
32814,B07TWK2S22,False,"dewalt 12v max cordless screwdriver, tool only, 1/4-inch, 15 clutch settings"
32814,B0812ZHY5N,False,dewalt 8v max cordless screwdriver kit
58953,B000EYAKJS,True,
58953,B000EYAKKW,True,
58953,B000EZ0CTK,False,kodak photo paper 8.5 x 11 matte
58953,B000EZTYCG,True,
58953,B000EZTYG2,True,
58953,B000EZTYHG,True,
58953,B01JB7D4SW,False,kodak photo paper 8-1/2 x 11 glossy
58953,B01M0L2WLF,True,
58953,B085F42SV6,False,kodak photo paper 8.5 x 11 matte
58953,B085G3MGFR,True,
